accession_number,title,record_type,historical_theme,current_collection,proposed_collection,proposal_confidence,proposal_reason
SRM-2026-525,"War on Hunger: A Report from the Agency for International Development, May 1976",Archive,Community and Professional Life,,Biographical and Civic History Collection,medium,Miscellaneous community/professional archive fits the broader biographical-civic bucket.
SRM-2026-366,"Voter-registration list by ward, 1965",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-375,"Argonne Forest Pressing Club advertising fan, ca. 1920",Artifact,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-383,"Portrait labeled “Ida B. Wells,” undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-385,"Collins Funeral Home advertising plaque, undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-388,"Richard Beadle historical marker, undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-392,"SCLC Citizenship Workbook, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-394,"Southern Changes, March–April 1980",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-395,"Eighth Annual Medgar Evers Mississippi Homecoming program, June 1, 1980",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-398,"E. C. Foster City Council campaign leaflet, undated",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-399,"Henry Kirksey mayoral campaign leaflet, undated",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-400,"The National Directory of Black State Legislators, 1981",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-401,"The UAW Looks at Civil Rights report, October 1959",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-402,"Equal Rights Congress program and documents, July 1977",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-404,"South Today, November 1973",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-405,"The Civil Rights Fight: A Look at the Legislative Record, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-406,"New South, April 1964",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-407,"The Little Black Book, 1977–1978",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-408,"Mississippi: Subversion of the Right to Vote, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-409,"Mississippi voting-rights booklet interior, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-410,"Woman entering the Leflore County Courthouse, undated",Photograph,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-411,"Registrar’s office, Forrest County Courthouse, Hattiesburg, undated",Photograph,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-415,"The South of the Near Future, May 1980",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-416,"Outlook featuring Ruby Shearry, March 1976",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-417,"Outlook: Neta Baker's $70,000 Home Burned to the Ground - Arson, February 1976",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-421,"Excel, 1982–1983",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-428,"Focus, May 1980",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-444,"SNCC list copy with annotations, 2003 copy of earlier material",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-461,"Reconstruction in Mississippi, 1867–1875",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-462,"Renaming of the Dr. A. H. McCoy Federal Building, June 7, 1985",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-466,"Ollie Collins, club historian, undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-469,"Mississippi legislators at a gala following their swearing-in, January 8, 1980",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-478,"The Forgotten Heroes of the Montgomery Bus Boycott, December 1975",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-485,"Adam Clayton Powell report on the Asia-Africa Conference, July 26, 1955",Archive,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-506,"Womanpower and the Jackson Movement, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-507,"National Lawyers Guild letter on legal assistance in Mississippi, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-508,"Guide to Subversive Organizations and Publications with National Lawyers Guild annotations, 1961",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-521,"Typed historical commentary on Montgomery and the Mississippi constitution of 1890, undated",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-527,"NAACP v. Claiborne Hardware Company respondents’ brief in opposition, October 15, 1981",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-528,"America’s Stake in Human Rights, September 1949",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-788,"YWCA branch leadership group seated around a table, 1940s or 1950s",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-797,"Southern Changes, October-November 1978",Archive,Civil Rights and Citizenship,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-825,"Photo of Rev. J. V. Johnson with poem on the back, undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-826,"Fraternal lodge officers posed in ceremonial regalia, undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-828,"Fraternal leader speaking at a podium, undated",Photograph,Civic Leadership,,Civil Rights Collection,medium,Civic/civil-rights material fits the existing civil-rights grouping.
SRM-2026-367,"The Inauguration of the President, Alcorn Agricultural and Mechanical College, March 6, 1971",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-368,"The Eagle yearbook, 2008",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-369,The 1981 Delvian: A Valley Experience,Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-382,"Tougaloo News memorial issue for Isaiah Sumner Sanders, February 1981",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-387,"Industrial-course certificate awarded to R. L. Burton, May 20, 1916",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-423,"Annual Athletic and Literary Tournament souvenir program, March 10, 1939",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-425,"Tougaloo College presentation folder, undated",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-426,"Black Perspectives on the Bicentennial: The Struggle for Equality of Educational Opportunity, undated",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-427,"Hi-Ho composition book with classroom fundraising note, undated",Artifact,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-436,"Alcorn Agricultural and Mechanical College examination books, 1937 and 1940",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-437,"Application for a teaching position, April 17, 1941",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-438,"First-grade class at the zoo, 1961",Photograph,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-440,"Rust College Alumni Newsletter, February 1981",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
SRM-2026-441,"Rust College Campus News Briefs, March 23, 1981",Archive,African American Education,,Education and Public Memory Collection,high,Education-related item not centered on Smith Robertson fits the broader Education and Public Memory Collection.
