priority,accession_number,title,record_type,historical_theme,collection_name,people,object_date,donor,neighborhood,rights_status,observation_reasons,notes
high,SRM-2026-020,Mississippi Board of Barber Examiners Certificate for Clarence Gray,Artifact,Black Business and Professional Life,Barbering and Community Life Collection,Clarence Gray,1945,,,Museum Use Only,Ambiguous metadata language: verify; Ambiguous metadata language: may; Ambiguous metadata language: text read from photograph; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Text read from photograph; verify certificate number, exact dates, and whether the black name panel is original to the object. Photo shows partial lettering 'C. E. GRA'."
high,SRM-2026-021,"Barber tools group including brush, sharpening stones, and razor accessories",Artifact,Black Business and Professional Life,Barbering and Community Life Collection,,,,,Museum Use Only,Ambiguous metadata language: appears; Ambiguous metadata language: grouped objects; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Image appears to show multiple objects grouped together. Consider splitting into individual records after physical inventory.
high,SRM-2026-022,Wester Bros. Hi-Car-Bin Steel barber implement case or razor box,Artifact,Black Business and Professional Life,Barbering and Community Life Collection,,,,,Museum Use Only,Ambiguous metadata language: confirm; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Confirm whether this is a razor, case, strop, or hone. Brand text visible in photograph."
high,SRM-2026-023,Barber tools group including hand clippers and brush,Artifact,Black Business and Professional Life,Barbering and Community Life Collection,,,,,Museum Use Only,Ambiguous metadata language: appears; Ambiguous metadata language: grouped objects; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Image appears to show multiple objects grouped together. Consider creating separate item records if inventory numbers exist.
high,SRM-2026-024,"Maroon and White yearbooks, 1952 and 1954",Archive,African American Education,Original SRM Intake Review,,1952; 1954,,,Museum Use Only,Ambiguous metadata language: verify; Missing donor and provenance; Missing neighborhood/geography detail; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Not a Smith Robertson School record. Verify school name and whether each volume should be cataloged separately.
high,SRM-2026-025,Black-and-white photograph of gathering along riverbank,Photograph,Family And Local Life,Photograph Collection,,,,,Museum Use Only,Ambiguous metadata language: verify; Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Unidentified location and date. Verify whether there is writing on verso.
high,SRM-2026-026,Black-and-white photograph of agricultural field work,Photograph,Agriculture and Labor,Photograph Collection,,,,,Museum Use Only,Ambiguous metadata language: may; Ambiguous metadata language: possibly; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Exact activity, location, and date are uncertain from the image alone."
high,SRM-2026-027,Black-and-white photograph of agricultural processing scene,Photograph,Agriculture and Labor,Photograph Collection,,,,,Museum Use Only,Ambiguous metadata language: may; No named people on person-centered photograph; Missing object date; Missing donor and provenance; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,Image has glare in the lower portion; identify machinery and location during cataloging.
high,SRM-2026-028,Membership Directory of Historic Mount Helm Baptist Church 135th Anniversary Program,Archive,Faith And Community Life,Church and Community History Collection,Dr. T. B. Brown,1970,,Downtown Jackson,Museum Use Only,Ambiguous metadata language: verify; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,"Cover lists Dr. T. B. Brown, Pastor, and Jackson, Mississippi. Verify address and full program contents."
high,SRM-2026-030,"A Collection of Memories: Smith Robertson School, 1894–1970",Archive,African American Education,School History Collection,Dr. Jessie Mosley; Doris Tharpe Hall; A. N. Jackson; Alferdteen Harrison; James Rundle; Myrtle Glascoe; Theresa Martin; Walter Scott; Cleopatra Thompson; Sophia Taylor; Mattie Collins; Gustava Gooden,1970,,Smith Robertson Campus,Museum Use Only,Ambiguous metadata language: verify; Ambiguous metadata language: appears; Ambiguous metadata language: may; Missing donor and provenance; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Museum Use Only,This appears to be a distinct item from the Mount Helm anniversary program already cataloged. Verify full pagination and title page details.
