accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-020,,coll001.jpg,Mississippi Board of Barber Examiners Certificate for Clarence Gray,Artifact,Needs Review,Barbering and Community Life Collection,,Black Business and Professional Life,,1940s,Clarence Gray,,1945,printed certificate in frame,Needs Review,Museum Use Only,Open Access,TRUE,,"Framed State of Mississippi Board of Barber Examiners certificate issued to Clarence Gray. Visible text indicates certificate no. 1508 and a practice period beginning July 1, 1945.","Documents Black barbering, licensure, and professional identity in Mississippi. May relate to local business history and community service economies.",,"Text read from photograph; verify certificate number, exact dates, and whether the black name panel is original to the object. Photo shows partial lettering 'C. E. GRA'.",barbering; licensure; Mississippi; Clarence Gray; professional history; framed certificate,
SRM-2026-021,,coll002.jpg,"Barber tools group including brush, sharpening stones, and razor accessories",Artifact,Needs Review,Barbering and Community Life Collection,,Black Business and Professional Life,,,,,,"mixed materials including wood, bristle, stone, and metal",Needs Review,Museum Use Only,Open Access,TRUE,,"Group photograph of barber-related tools, including a brush and several sharpening or honing implements with paper tags attached.",Represents the material culture of barbering and everyday grooming labor.,,Image appears to show multiple objects grouped together. Consider splitting into individual records after physical inventory.,barbering; tools; grooming; sharpening stones; brush; grouped objects,
SRM-2026-022,,coll003.jpg,Wester Bros. Hi-Car-Bin Steel barber implement case or razor box,Artifact,Needs Review,Barbering and Community Life Collection,,Black Business and Professional Life,,,,,,manufactured case or boxed implement,Needs Review,Museum Use Only,Open Access,TRUE,,"Close-up of a barbering-related implement or case with visible text reading 'Hi-Car-Bin Steel' and 'Wester Bros Solingen, Germany.'",Provides evidence of the commercial tools and imported products used in barbering practice.,,"Confirm whether this is a razor, case, strop, or hone. Brand text visible in photograph.",barbering; Wester Bros; Solingen Germany; steel; razor accessories,
SRM-2026-023,,coll004.jpg,Barber tools group including hand clippers and brush,Artifact,Needs Review,Barbering and Community Life Collection,,Black Business and Professional Life,,,,,,metal and wood with brush,Needs Review,Museum Use Only,Open Access,TRUE,,"Group photograph of barber tools including hand-operated hair clippers, a brush, and an additional detached component.",Illustrates the tools associated with haircutting and grooming before widespread electric equipment.,,Image appears to show multiple objects grouped together. Consider creating separate item records if inventory numbers exist.,barbering; hair clippers; grooming; brush; grouped objects,
SRM-2026-024,,coll005.jpg,"Maroon and White yearbooks, 1952 and 1954",Archive,Needs Review,Original SRM Intake Review,,African American Education,,1950s,,,1952; 1954,printed yearbooks,,Museum Use Only,Open Access,TRUE,,"Two yearbooks titled 'Maroon and White,' with covers marked 1952 and '54 and a bulldog emblem.","Likely useful for documenting student life, institutional identity, and mid-twentieth-century educational history.",,Not a Smith Robertson School record. Verify school name and whether each volume should be cataloged separately.,yearbook; education; 1950s; Maroon and White; other school history,
SRM-2026-025,,coll006.jpg,Black-and-white photograph of gathering along riverbank,Photograph,Needs Review,Photograph Collection,,Family And Local Life,,,,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,Black-and-white photograph showing a large group gathered along a riverbank or lakeshore.,"May document recreation, labor, travel, or community gathering near a waterway.",,Unidentified location and date. Verify whether there is writing on verso.,photograph; river; community gathering; black-and-white print,
SRM-2026-026,,coll007.jpg,Black-and-white photograph of agricultural field work,Photograph,Needs Review,Photograph Collection,,Agriculture and Labor,,,,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,"Black-and-white photograph showing people and teams in a cultivated field, possibly during plowing or planting.","May document agricultural labor, land use, and rural work practices.",,"Exact activity, location, and date are uncertain from the image alone.",photograph; agriculture; field labor; rural history,
SRM-2026-027,,coll008.jpg,Black-and-white photograph of agricultural processing scene,Photograph,Needs Review,Photograph Collection,,Agriculture and Labor,,,,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,"Black-and-white photograph showing several people working with machinery beside a building, likely in an agricultural processing context.",May document mechanized farm labor and communal work activity.,,Image has glare in the lower portion; identify machinery and location during cataloging.,photograph; agriculture; machinery; labor; rural history,
SRM-2026-028,,coll009.jpg,Membership Directory of Historic Mount Helm Baptist Church 135th Anniversary Program,Archive,Needs Review,Church and Community History Collection,,Faith And Community Life,Downtown Jackson,1970s,Dr. T. B. Brown,,1970,printed program booklet,Needs Review,Museum Use Only,Open Access,TRUE,,Program booklet titled 'Membership Directory of Historic Mount Helm Baptist Church 135th Anniversary Program' with the theme 'The Church In Response To Change' and the dates 1835–1970.,"Documents Jackson church history, congregational identity, and commemorative print culture.",,"Cover lists Dr. T. B. Brown, Pastor, and Jackson, Mississippi. Verify address and full program contents.",church history; Mount Helm Baptist Church; Jackson Mississippi; anniversary program; printed booklet,
SRM-2026-030,,coll010.jpg,"A Collection of Memories: Smith Robertson School, 1894–1970",Archive,Needs Review,School History Collection,,African American Education,Smith Robertson Campus,1970s,Dr. Jessie Mosley; Doris Tharpe Hall; A. N. Jackson; Alferdteen Harrison; James Rundle; Myrtle Glascoe; Theresa Martin; Walter Scott; Cleopatra Thompson; Sophia Taylor; Mattie Collins; Gustava Gooden,,1970,typed and stapled booklet or report,Needs Review,Museum Use Only,Open Access,TRUE,,"Typed document titled 'A Collection of Memories: Smith Robertson School, 1894–1970,' compiled by the Citizens Committee for the Preservation of Smith Robertson School.",Documents institutional memory and preservation efforts related to Smith Robertson School and may contain key historical information about the school’s legacy.,,This appears to be a distinct item from the Mount Helm anniversary program already cataloged. Verify full pagination and title page details.,Smith Robertson School; education; preservation; booklet; typescript; Jackson history,
SRM-2026-031,,coll011.jpg,Portrait photograph of Smith Robertson,Photograph,Needs Review,Photograph Collection,,Portraiture and Community Memory,,,Smith Robertson,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,"Black-and-white portrait photograph of Smith Robertson wearing a jacket, vest, and high-collared shirt.",Documents the likeness of Smith Robertson and supports interpretation of the school's namesake and broader community history.,,"Identification updated from image review. Check verso, matting, or related files for date and provenance details.",portrait; Smith Robertson; black-and-white photograph; community history,
SRM-2026-032,,coll012.jpg,Fragmentary clipping about Wilson Brown and the Medal of Honor,Archive,Needs Review,Military and Civic History Collection,,Military Service,,,Wilson Brown,,,printed clipping or reproduction,Needs Review,Museum Use Only,Open Access,TRUE,,"Printed clipping featuring an image of a Medal of Honor and partial caption text stating that Wilson Brown became the only Mississippian, black or white, to receive a Medal of Honor for bravery in the Civil War, aboard the U.S. Hartford in Mobile Bay.","Relates to Mississippi military history, Black service, and commemorative interpretation of Wilson Brown.",,Text is partial and the object appears torn or incomplete. Verify source publication and complete caption.,Wilson Brown; Medal of Honor; Civil War; military history; clipping; Mississippi history,
SRM-2026-033,,coll013.jpg,Photograph of elderly woman standing outdoors,Photograph,Needs Review,Photograph Collection,,Portraiture and Community Memory,,,,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,Black-and-white photograph showing an elderly woman standing outdoors in front of a house or porch area.,"May document family history, domestic space, and everyday life.",,Subject and location unidentified from the image alone. Check verso or associated materials for identification.,photograph; woman; domestic space; family history; portrait,
SRM-2026-034,,coll014.jpg,Printed portrait of John R. Lynch,Archive,Needs Review,Biographical and Civic History Collection,,Portraiture and Community Memory,,,John R. Lynch,,,printed portrait reproduction,Needs Review,Museum Use Only,Open Access,TRUE,,Printed portrait reproduction of John R. Lynch with mustache and bow tie.,Documents the likeness of John R. Lynch and may support interpretation of Black political leadership and public life in Mississippi.,,Image may be a reproduction from a publication rather than an original photograph. Identification updated from image review.,portrait; printed reproduction; John R. Lynch; biography,
SRM-2026-035,,coll015.jpg,Printed portrait of Hiram Revels,Archive,Needs Review,Biographical and Civic History Collection,,Portraiture and Community Memory,,,Hiram Revels,,,printed portrait reproduction,Needs Review,Museum Use Only,Open Access,TRUE,,Printed portrait reproduction of Hiram Revels in formal dress.,Documents the likeness of Hiram Revels and may support interpretation of Black political leadership and Reconstruction-era history.,,"Image may be a reproduction from a book, pamphlet, or exhibit panel. Identification updated from image review; confirm source.",portrait; printed reproduction; Hiram Revels; biography,
SRM-2026-036,,coll016.jpg,Framed display of note labeled 'The State of England' one dollar,Artifact,Needs Review,Material Culture Collection,,Material Culture and Interpretation,,,,,,framed printed note or reproduction,Needs Review,Museum Use Only,Open Access,TRUE,,Small framed display containing a worn printed note or bill with visible text including 'The State of England' and 'One Dollar.',"May represent currency, interpretive display material, or a reproduction associated with a larger historical story.",,"Identification is uncertain from the image alone. Verify whether the note is original, reproduction, or exhibit facsimile.",currency; framed object; printed note; material culture,
SRM-2026-046,,coll017.jpg,Memphis Brewers Company Lewis Banquet for the Mississippi Negro Country Agents,Photograph,Needs Review,Photograph Collection,"Nashoba, Mississippi",Community and Professional Life,,1930s,,,1939-11-28 00:00:00,black-and-white photographic print mounted on board,Needs Review,Museum Use Only,Open Access,TRUE,,"Group banquet photograph with handwritten caption reading 'Memphis Brewers Co. Lewis Banquet for the Miss. Negro Country Agents, Neshoba, Miss., Nov. 28, 1939.'","Documents Black professional and community networks in Mississippi, including county agents and a formal banquet setting.",,Caption should be verified in person for spelling of place name and company wording.,banquet; county agents; Black professional life; Mississippi; 1939; group photograph,
SRM-2026-047,,coll018.jpg,Annual meeting group photograph of the Mississippi Negro Brewers Association,Photograph,Needs Review,Photograph Collection,"Greenville, Mississippi",Community and Professional Life,,,,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,"Group photograph of men and women posed outside a brick church or meeting house. Handwritten caption references an annual meeting of the Mississippi Negro Brewers Association in Greenville, Mississippi.","Documents associational life, professional organizing, and Black civic gathering in Mississippi.",,Caption is partially obscured and should be verified from the original print.,association meeting; Greenville Mississippi; Black civic life; group photograph,
SRM-2026-048,,coll019.jpg,Civil rights demonstration photograph with linked arms,Photograph,Needs Review,Civil Rights Collection,,Civil Rights and Citizenship,,1960s,,,,black-and-white photographic print,Needs Review,Museum Use Only,Open Access,TRUE,,"Black-and-white photograph of a line of civil rights demonstrators with linked arms, including men, women, and youth.","Represents direct action, solidarity, and collective protest during the civil rights era.",,"Location, photographer, and exact event are not identified from the image alone.",civil rights; protest; demonstrators; linked arms; black-and-white photograph,
SRM-2026-049,,coll020.jpg,Alcorn Agricultural and Mechanical College Eighty-Ninth Annual Commencement program,Archive,Needs Review,Education Collection,"Lorman, Mississippi",African American Education,,1960s,,,1960-05-23 00:00:00,printed commencement program,Needs Review,Museum Use Only,Open Access,TRUE,,"Program for Alcorn Agricultural and Mechanical College's Eighty-Ninth Annual Commencement held Monday evening, May 23, 1960 at Henderson Stadium, Lorman, Mississippi.","Documents HBCU ceremonial culture, higher education, and institutional history in Mississippi.",,Front cover only is shown; confirm full contents and whether any names are listed inside.,Alcorn A and M College; commencement; 1960; HBCU; education; program,
SRM-2026-050,,coll021.jpg,Student Nonviolent Coordinating Committee 1967 calendar,Archive,Needs Review,Civil Rights Collection,,Civil Rights and Citizenship,,1960s,Bob Fletcher; Julius Lester,,1967,printed wall calendar,Needs Review,Museum Use Only,Open Access,TRUE,,Student Nonviolent Coordinating Committee wall calendar for 1967. One photographed page shows the cover and another shows the June 1967 calendar page with a photograph credited to Julius Lester; the cover image is credited to Bob Fletcher.,Documents SNCC print culture and movement organizing during the civil rights era.,,The cover and June page appear to be the same item and are cataloged here as a single calendar rather than separate records.,SNCC; Student Nonviolent Coordinating Committee; 1967; calendar; civil rights,
SRM-2026-051,,coll022.jpg,Poor People's Campaign 1968 Southern Caravan to Washington broadside,Archive,Needs Review,Civil Rights Collection,,Civil Rights and Citizenship,,1960s,Martin Luther King Jr.; Ralph David Abernathy,,1968,printed broadside or flyer,Needs Review,Museum Use Only,Open Access,TRUE,,"Broadside titled 'Poor People's Campaign 1968' listing the Southern Caravan to Washington, D.C. itinerary from Edwards, Mississippi through Washington, D.C., under the Southern Christian Leadership Conference.",Documents organizing for the Poor People's Campaign and the role of the SCLC in 1968.,,Distinct item from the separate SCLC invitation flyer also photographed in this batch.,Poor People's Campaign; 1968; SCLC; Martin Luther King Jr; Ralph Abernathy; broadside,
SRM-2026-052,,coll023.jpg,SCLC flyer inviting participation in the Poor People's Campaign,Archive,Needs Review,Civil Rights Collection,"Grenada, Mississippi",Civil Rights and Citizenship,,1960s,Martin Luther King Jr.,,1968,printed flyer,Needs Review,Museum Use Only,Open Access,TRUE,,"Flyer reading 'Dr. Martin Luther King Jr. invites you to join us in the Poor People's Campaign, Washington, D.C., Spring 1968,' issued by the Southern Christian Leadership Conference and including contact information for the Mississippi unit in Grenada.",Documents grassroots recruitment and communication for the Poor People's Campaign.,,This is a separate printed item from the Southern Caravan broadside.,Poor People's Campaign; SCLC; Martin Luther King Jr; Grenada Mississippi; flyer; civil rights,
SRM-2026-053,,coll024.jpg,Free Mississippi in '64 campaign sticker or handbill,Archive,Needs Review,Civil Rights Collection,,Civil Rights and Citizenship,,1960s,,,1964,printed sticker or small poster,Needs Review,Museum Use Only,Open Access,TRUE,,Blue-and-white printed piece reading 'FREE MISSISSIPPI in '64.',Likely associated with Mississippi Freedom Summer or broader freedom movement organizing in 1964.,,"Confirm whether object is a sticker, handbill, or sign.",Free Mississippi; 1964; Freedom Summer; civil rights; printed ephemera,
SRM-2026-054,,coll025.jpg,"Democratic National Convention reserved section ticket, August 24, 1964",Archive,Needs Review,Political History Collection,"Atlantic City, New Jersey",Civil Rights and Citizenship,,1960s,John M. Bailey,,1964-08-24 00:00:00,printed convention ticket,Needs Review,Museum Use Only,Open Access,TRUE,,"Printed ticket for the Democratic National Convention, Convention Hall, Atlantic City, New Jersey, Monday August 24, 1964, marked 'Reserved Section.'",May connect to the 1964 Democratic National Convention and Mississippi civil rights political history.,,Consider cross-referencing with Freedom Democratic Party materials if present elsewhere in the collection.,Democratic National Convention; 1964; Atlantic City; ticket; political history,
SRM-2026-055,,coll026.jpg,"The Link holdings (1996-1997, 2005-2006, 2008)",Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",1990s-2000s,,,Jan. 1996-Sep. 1997; Jan. 2005-March 2006; Oct. 2008,newsprint / periodical print,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Bundle label for The Link holdings covering selected runs from 1996-1997, 2005-2006, and 2008.",Represents local newspaper and periodical holdings that document civic and community life in Jackson.,,Source image: 1.png. Label transcription: THE LINK / Jan. 1996-Sept. 1997 / Jan. 2005-March 2006 / Oct. 2008.,newspapers; periodicals; The Link; Jackson media,
SRM-2026-056,,coll027.jpg,The Jackson Advocate holdings (March-December 2006),Newspaper / Periodical,In Storage,Newspapers And Periodicals,Periodicals Holdings,Civic Leadership,"Jackson, Mississippi",2000s,,,March 2006-December 2006,newsprint,Stable,Rights Unknown,Review Before Public Display,TRUE,,Bundle label for The Jackson Advocate holdings covering March through December 2006.,"Documents one year of The Jackson Advocate, an important newspaper source for Black public life and local reporting.",,Source image: 2.png. Label transcription: THE JACKSON ADVOCATE / March 2006-Dec 2006.,newspapers; The Jackson Advocate; Black press; Jackson media,
