accession_number,title,current_collection,historical_theme,srm_triage_bucket,triage_reason
SRM-2026-080,Inventory of Jerry and Sue Whitt donation,Museum Administrative Records,Arts And Culture,definitely_srm,Current collection variant already points to Smith Robertson school or museum history.
SRM-2026-370,"Smith Robertson Folklife Festival program, May 3–5, 1985",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-371,"Smith Robertson Museum and Cultural Center brochure, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-373,"A Neighborhood Discovery exhibition program, 1983",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-389,"Smith Robertson Neighborhood Folklife Festival program, May 4, 1984",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-390,"Smith Robertson Neighborhood Folklife Festival program pages, 1984",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-453,"Smith Robertson class collage, 1925",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-460,"Smith Robertson School register of former teachers, 1935–1937",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-480,Mini guide for volunteers for Field to Factory: Afro-American Migration 1915-1940,,Migration And Memory,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-483,"Field to Factory exhibition program, November 6, 1988",,Migration And Memory,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-484,"Field to Factory study guide for the exhibition, undated",,Migration And Memory,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-488,"May Day 1963, Vertilla Anderson’s first grade class",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-489,"Jimmie Dale Law in striped jacket with first grade class, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-490,"Smith Robertson teachers, March 1958",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-491,"Vertilla F. Anderson portrait with floral display, May 1964",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-492,"Betty Mencuree with first graders, May 1964",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-493,"Vertilla F. Anderson and class, May 1964",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-494,"Smith Robertson teachers group, March 1958",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-495,"Vertilla F. Anderson and first graders outside school, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-496,May Day 1965 maypole at Robertson School,,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-497,"Vertilla F. Anderson first grade classroom, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-499,"May Day first grade class in costume, May 1964",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-501,"Smith Robertson class trip scene at the airport, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-502,"At the zoo, May Day 1965, Robertson School",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-503,"At the airport with Clara Caston, Christa Hudson, Florence Aaron, Vertilla F. Anderson, and children, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-504,"Smith Robertson first graders, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-505,"Martin Luther King Jr. memorial gathering at Smith Robertson, undated",,Civil Rights and Citizenship,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-511,"Jackson State University support letter for Smith Robertson museum development, February 1, 1984",,Community and Professional Life,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-512,"Ten African American Artists at Smith Robertson opening program, May 5, 1991",,Arts And Culture,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-805,"Smith Robertson School building facade, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
SRM-2026-807,"Sports pin awarded to Prof. Luther Marshall, undated",,African American Education,definitely_srm,Directly documents Smith Robertson School or Smith Robertson Museum history.
