section,key,count,notes
historical_theme,Family And Local Life,36,Remaining records with blank collection_name
historical_theme,African American Education,28,Remaining records with blank collection_name
historical_theme,Civil Rights and Citizenship,26,Remaining records with blank collection_name
historical_theme,Arts And Culture,20,Remaining records with blank collection_name
historical_theme,Civic Leadership,19,Remaining records with blank collection_name
historical_theme,Portraiture and Community Memory,11,Remaining records with blank collection_name
historical_theme,Community and Professional Life,9,Remaining records with blank collection_name
historical_theme,Migration And Memory,7,Remaining records with blank collection_name
historical_theme,Midwives and Motherhood,4,Remaining records with blank collection_name
historical_theme,Material Culture and Interpretation,1,Remaining records with blank collection_name
historical_theme,Agriculture and Labor,1,Remaining records with blank collection_name
historical_theme,Military Service,1,Remaining records with blank collection_name
historical_theme,Black Health and Medicine,1,Remaining records with blank collection_name
record_type,Photograph,92,Remaining records with blank collection_name
record_type,Archive,69,Remaining records with blank collection_name
record_type,Artifact,3,Remaining records with blank collection_name
